./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  2.0724509e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       378          5          7'481 0.99990050
       379          5          7'500 0.99990300
       380          3          7'518 0.99990450
       381          2          7'519 0.99990550
       382          2          7'537 0.99990650
       383          4          7'555 0.99990850
       384          1          7'556 0.99990900
       385          5          7'574 0.99991150
       386          2          7'592 0.99991250
       387          1          7'593 0.99991300
       388          5          7'611 0.99991550
       389          2          7'629 0.99991650
       390          5          7'630 0.99991900
       391          2          7'648 0.99992000
       392          3          7'666 0.99992150
       393          4          7'703 0.99992350
       394          1          7'704 0.99992400
       395          2          7'722 0.99992500
       396          1          7'740 0.99992550
       397          1          7'759 0.99992600
       398          3          7'777 0.99992750
       399          2          7'778 0.99992850
       400          2          7'815 0.99992950
       401          2          7'833 0.99993050
       402          5          7'852 0.99993300
       403          1          7'871 0.99993350
       404          1          7'889 0.99993400
       405          1          7'907 0.99993450
       406          1          8'000 0.99993500
       407          1          8'019 0.99993550
       408          1          8'036 0.99993600
       409          1          8'037 0.99993650
       410          2          8'092 0.99993750
       411          1          8'148 0.99993800
       412          1          8'222 0.99993850
       413          1          8'241 0.99993900
       414          1          8'333 0.99993950
       415          1          8'370 0.99994000
       416          1          8'388 0.99994050
       417          1          8'518 0.99994100
       418          1          8'611 0.99994150
       419          1          8'703 0.99994200
       420          1          8'740 0.99994250
       421          1          8'741 0.99994300
       422          1          8'815 0.99994350
       423          1          8'888 0.99994400
       424          1          8'999 0.99994450
       425          1          9'000 0.99994500
       426          1          9'018 0.99994550
       427          1          9'055 0.99994600
       428          3          9'444 0.99994750
       429          1          9'611 0.99994800
       430          1          9'704 0.99994850
       431          1          9'740 0.99994900
       432          1          9'814 0.99994950
       433          1          9'815 0.99995000
       434          1          9'852 0.99995050
       435          1          9'981 0.99995100
       436          1         10'055 0.99995150
       437          1         10'204 0.99995200
       438          1         10'240 0.99995250
       439          1         10'389 0.99995300
       440          1         10'426 0.99995350
       441          1         10'519 0.99995400
       442          1         10'611 0.99995450
       443          1         10'685 0.99995500
       444          2         10'722 0.99995600
       445          1         10'815 0.99995650
       446          1         10'833 0.99995700
       447          1         10'851 0.99995750
       448          1         10'908 0.99995800
       449          1         11'018 0.99995850
       450          1         11'037 0.99995900
       451          1         11'129 0.99995950
       452          2         11'166 0.99996050
       453          1         11'203 0.99996100
       454          2         11'222 0.99996200
       455          1         11'259 0.99996250
       456          1         11'278 0.99996300
       457          1         11'296 0.99996350
       458          1         11'333 0.99996400
       459          1         11'388 0.99996450
       460          2         11'389 0.99996550
       461          1         11'426 0.99996600
       462          1         11'444 0.99996650
       463          1         11'481 0.99996700
       464          1         11'518 0.99996750
       465          1         11'574 0.99996800
       466          1         11'592 0.99996850
       467          1         11'684 0.99996900
       468          1         11'703 0.99996950
       469          2         11'777 0.99997050
       470          1         11'852 0.99997100
       471          1         11'889 0.99997150
       472          1         11'907 0.99997200
       473          1         11'926 0.99997250
       474          1         12'092 0.99997300
       475          1         12'093 0.99997350
       476          1         12'111 0.99997400
       477          1         12'167 0.99997450
       478          1         12'222 0.99997500
       479          1         12'425 0.99997550
       480          1         12'556 0.99997600
       481          1         12'574 0.99997650
       482          1         12'611 0.99997700
       483          1         12'925 0.99997750
       484          1         12'944 0.99997800
       485          1         13'222 0.99997850
       486          1         13'500 0.99997900
       487          1         13'666 0.99997950
       488          1         13'870 0.99998000
       489          1         14'111 0.99998050
       490          1         14'352 0.99998100
       491          1         14'630 0.99998150
       492          1         14'648 0.99998200
       493          1         14'759 0.99998250
       494          2         14'999 0.99998350
       495          1         15'018 0.99998400
       496          1         15'093 0.99998450
       497          1         15'296 0.99998500
       498          1         15'721 0.99998550
       499          1         15'907 0.99998600
       500          1         15'944 0.99998650
       501          1         16'037 0.99998700
       502          1         16'648 0.99998750
       503          1         16'852 0.99998800
       504          1         16'926 0.99998850
       505          1         17'073 0.99998900
       506          1         18'018 0.99998950
