./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.7089961e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       369          2          6'963 0.99988200
       370          2          7'000 0.99988300
       371          3          7'018 0.99988450
       372          1          7'019 0.99988500
       373          4          7'037 0.99988700
       374          1          7'055 0.99988750
       375          4          7'074 0.99988950
       376          2          7'093 0.99989050
       377          3          7'111 0.99989200
       378          1          7'129 0.99989250
       379          3          7'130 0.99989400
       380          2          7'148 0.99989500
       381          1          7'149 0.99989550
       382          1          7'166 0.99989600
       383          4          7'167 0.99989800
       384          3          7'185 0.99989950
       385          4          7'203 0.99990150
       386          2          7'204 0.99990250
       387          2          7'222 0.99990350
       388          1          7'259 0.99990400
       389          1          7'260 0.99990450
       390          4          7'277 0.99990650
       391          2          7'278 0.99990750
       392          1          7'297 0.99990800
       393          2          7'315 0.99990900
       394          2          7'333 0.99991000
       395          1          7'352 0.99991050
       396          1          7'371 0.99991100
       397          3          7'389 0.99991250
       398          1          7'407 0.99991300
       399          1          7'444 0.99991350
       400          2          7'445 0.99991450
       401          4          7'463 0.99991650
       402          2          7'481 0.99991750
       403          1          7'500 0.99991800
       404          2          7'537 0.99991900
       405          1          7'556 0.99991950
       406          2          7'574 0.99992050
       407          1          7'592 0.99992100
       408          1          7'611 0.99992150
       409          1          7'630 0.99992200
       410          1          7'648 0.99992250
       411          2          7'667 0.99992350
       412          2          7'685 0.99992450
       413          1          7'703 0.99992500
       414          2          7'704 0.99992600
       415          3          7'722 0.99992750
       416          1          7'723 0.99992800
       417          2          7'759 0.99992900
       418          2          7'777 0.99993000
       419          2          7'796 0.99993100
       420          1          7'814 0.99993150
       421          2          7'815 0.99993250
       422          1          7'851 0.99993300
       423          1          7'852 0.99993350
       424          1          7'870 0.99993400
       425          1          7'926 0.99993450
       426          1          7'981 0.99993500
       427          1          7'999 0.99993550
       428          1          8'000 0.99993600
       429          2          8'037 0.99993700
       430          1          8'092 0.99993750
       431          1          8'111 0.99993800
       432          1          8'203 0.99993850
       433          1          8'241 0.99993900
       434          1          8'333 0.99993950
       435          1          8'352 0.99994000
       436          1          8'408 0.99994050
       437          1          8'500 0.99994100
       438          1          8'537 0.99994150
       439          1          8'741 0.99994200
       440          1          8'759 0.99994250
       441          1          8'778 0.99994300
       442          1          8'889 0.99994350
       443          1          8'926 0.99994400
