./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-NetBSD_10_64bit-g++_8_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.5893563e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            333 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'567 ns

Other information for reference:

small scale duration variability     :             19 ns
       325          4          7'889 0.99965500
       326          5          7'907 0.99965750
       327          7          7'908 0.99966100
       328          3          7'925 0.99966250
       329         14          7'926 0.99966950
       330          7          7'944 0.99967300
       331          3          7'945 0.99967450
       332          6          7'962 0.99967750
       333         10          7'963 0.99968250
       334         11          7'981 0.99968800
       335          4          7'982 0.99969000
       336          1          7'999 0.99969050
       337         10          8'000 0.99969550
       338          7          8'018 0.99969900
       339          4          8'019 0.99970100
       340         19          8'037 0.99971050
       341          4          8'055 0.99971250
       342          6          8'056 0.99971550
       343          2          8'073 0.99971650
       344         16          8'074 0.99972450
       345          1          8'075 0.99972500
       346          3          8'092 0.99972650
       347          7          8'093 0.99973000
       348          1          8'110 0.99973050
       349         13          8'111 0.99973700
       350          9          8'129 0.99974150
       351          8          8'130 0.99974550
       352         14          8'148 0.99975250
       353          1          8'149 0.99975300
       354          7          8'166 0.99975650
       355          9          8'167 0.99976100
       356          1          8'184 0.99976150
       357          8          8'185 0.99976550
       358          2          8'186 0.99976650
       359          9          8'203 0.99977100
       360          9          8'204 0.99977550
       361          9          8'222 0.99978000
       362          1          8'223 0.99978050
       363          5          8'240 0.99978300
       364         15          8'241 0.99979050
       365         13          8'259 0.99979700
       366          2          8'260 0.99979800
       367          4          8'277 0.99980000
       368          5          8'278 0.99980250
       369          6          8'296 0.99980550
       370          1          8'297 0.99980600
       371          2          8'314 0.99980700
       372          7          8'315 0.99981050
       373          6          8'333 0.99981350
       374          1          8'334 0.99981400
       375          3          8'351 0.99981550
       376          6          8'352 0.99981850
       377          8          8'370 0.99982250
       378          4          8'389 0.99982450
       379          4          8'407 0.99982650
       380          3          8'408 0.99982800
       381          2          8'425 0.99982900
       382          6          8'426 0.99983200
       383          3          8'444 0.99983350
       384          3          8'445 0.99983500
       385          1          8'462 0.99983550
       386          3          8'463 0.99983700
       387          1          8'481 0.99983750
       388          1          8'482 0.99983800
       389          3          8'500 0.99983950
       390          2          8'518 0.99984050
       391          1          8'519 0.99984100
       392          1          8'537 0.99984150
       393          1          8'555 0.99984200
       394          1          8'556 0.99984250
       395          6          8'574 0.99984550
       396          1          8'593 0.99984600
       397          3          8'611 0.99984750
       398          2          8'629 0.99984850
       399          3          8'630 0.99985000
       400          2          8'648 0.99985100
       401          1          8'666 0.99985150
       402          1          8'723 0.99985200
       403          1          8'759 0.99985250
       404          2          8'796 0.99985350
       405          2          8'852 0.99985450
       406          1          8'870 0.99985500
       407          1          8'871 0.99985550
       408          1          8'926 0.99985600
       409          1          8'944 0.99985650
       410          1          9'129 0.99985700
       411          1          9'167 0.99985750
       412          1          9'259 0.99985800
       413          1          9'500 0.99985850
       414          1          9'759 0.99985900
       415          1         10'056 0.99985950
       416          1         10'297 0.99986000
       417          1         10'370 0.99986050
       418          1         10'371 0.99986100
       419          1         10'426 0.99986150
       420          1         10'462 0.99986200
       421          1         10'500 0.99986250
       422          1         10'518 0.99986300
       423          2         10'537 0.99986400
       424          1         10'555 0.99986450
       425          1         10'574 0.99986500
       426          2         10'593 0.99986600
       427          1         10'611 0.99986650
       428          1         10'630 0.99986700
       429          4         10'648 0.99986900
       430          2         10'666 0.99987000
       431          1         10'685 0.99987050
       432          3         10'722 0.99987200
       433          1         10'759 0.99987250
       434          3         10'796 0.99987400
       435          1         10'814 0.99987450
       436          1         10'833 0.99987500
       437          2         10'851 0.99987600
       438          1         10'870 0.99987650
       439          3         10'889 0.99987800
       440          1         10'944 0.99987850
       441          2         10'982 0.99987950
       442          2         10'999 0.99988050
       443          1         11'000 0.99988100
       444          1         11'018 0.99988150
       445          2         11'037 0.99988250
       446          2         11'074 0.99988350
       447          1         11'092 0.99988400
       448          1         11'093 0.99988450
       449          1         11'111 0.99988500
       450          1         11'129 0.99988550
       451          1         11'148 0.99988600
       452          1         11'166 0.99988650
       453          2         11'185 0.99988750
       454          1         11'222 0.99988800
       455          1         11'240 0.99988850
       456          1         11'241 0.99988900
       457          2         11'259 0.99989000
       458          1         11'260 0.99989050
       459          1         11'277 0.99989100
       460          2         11'296 0.99989200
       461          3         11'315 0.99989350
       462          2         11'333 0.99989450
       463          1         11'352 0.99989500
       464          1         11'389 0.99989550
       465          1         11'425 0.99989600
       466          2         11'444 0.99989700
       467          2         11'462 0.99989800
       468          2         11'463 0.99989900
       469          1         11'481 0.99989950
       470          2         11'499 0.99990050
       471          3         11'518 0.99990200
       472          1         11'519 0.99990250
       473          2         11'537 0.99990350
       474          2         11'574 0.99990450
       475          1         11'592 0.99990500
       476          3         11'611 0.99990650
       477          3         11'629 0.99990800
       478          2         11'630 0.99990900
       479          1         11'648 0.99990950
       480          1         11'685 0.99991000
       481          1         11'704 0.99991050
       482          3         11'722 0.99991200
       483          1         11'759 0.99991250
       484          1         11'760 0.99991300
       485          5         11'796 0.99991550
       486          2         11'814 0.99991650
       487          1         11'815 0.99991700
       488          2         11'833 0.99991800
       489          1         11'834 0.99991850
       490          1         11'870 0.99991900
       491          1         11'871 0.99991950
       492          1         11'889 0.99992000
       493          2         11'907 0.99992100
       494          1         11'926 0.99992150
       495          1         11'944 0.99992200
       496          1         11'963 0.99992250
       497          1         11'999 0.99992300
       498          4         12'018 0.99992500
       499          1         12'019 0.99992550
       500          1         12'055 0.99992600
       501          1         12'073 0.99992650
       502          1         12'092 0.99992700
       503          1         12'093 0.99992750
       504          3         12'130 0.99992900
       505          1         12'148 0.99992950
       506          3         12'185 0.99993100
       507          1         12'203 0.99993150
       508          1         12'221 0.99993200
       509          2         12'259 0.99993300
       510          1         12'277 0.99993350
       511          3         12'278 0.99993500
       512          2         12'296 0.99993600
       513          2         12'333 0.99993700
       514          1         12'351 0.99993750
       515          1         12'370 0.99993800
       516          1         12'371 0.99993850
       517          2         12'425 0.99993950
       518          1         12'426 0.99994000
       519          1         12'482 0.99994050
       520          1         12'574 0.99994100
       521          1         12'611 0.99994150
       522          2         12'667 0.99994250
       523          1         12'685 0.99994300
       524          2         12'722 0.99994400
       525          2         12'741 0.99994500
       526          1         12'759 0.99994550
       527          1         12'796 0.99994600
       528          1         12'797 0.99994650
       529          1         12'814 0.99994700
       530          2         12'833 0.99994800
       531          1         12'870 0.99994850
       532          1         12'888 0.99994900
       533          1         12'889 0.99994950
       534          2         12'925 0.99995050
       535          4         12'963 0.99995250
       536          1         13'000 0.99995300
       537          3         13'018 0.99995450
       538          2         13'019 0.99995550
       539          1         13'055 0.99995600
       540          2         13'074 0.99995700
       541          1         13'093 0.99995750
       542          1         13'129 0.99995800
       543          1         13'148 0.99995850
       544          1         13'167 0.99995900
       545          1         13'204 0.99995950
       546          1         13'260 0.99996000
       547          1         13'314 0.99996050
       548          1         13'333 0.99996100
       549          1         13'370 0.99996150
       550          1         13'388 0.99996200
       551          1         13'389 0.99996250
       552          1         13'444 0.99996300
       553          1         13'463 0.99996350
       554          1         13'481 0.99996400
       555          1         13'500 0.99996450
       556          1         13'556 0.99996500
       557          1         13'592 0.99996550
       558          2         13'740 0.99996650
       559          1         13'759 0.99996700
       560          1         13'907 0.99996750
       561          1         13'925 0.99996800
       562          1         13'963 0.99996850
       563          1         14'000 0.99996900
       564          1         14'055 0.99996950
       565          1         14'111 0.99997000
       566          1         14'222 0.99997050
       567          1         14'296 0.99997100
       568          1         14'333 0.99997150
       569          1         14'482 0.99997200
       570          2         14'537 0.99997300
       571          1         14'555 0.99997350
       572          1         14'556 0.99997400
       573          1         14'777 0.99997450
       574          1         14'833 0.99997500
       575          1         14'870 0.99997550
       576          1         14'907 0.99997600
       577          1         14'963 0.99997650
       578          1         15'055 0.99997700
       579          1         15'074 0.99997750
       580          1         15'148 0.99997800
       581          1         15'333 0.99997850
       582          1         15'444 0.99997900
       583          1         15'481 0.99997950
       584          1         15'611 0.99998000
       585          1         16'481 0.99998050
       586          1         16'629 0.99998100
       587          1         16'759 0.99998150
       588          1         16'796 0.99998200
       589          1         17'352 0.99998250
       590          1         17'685 0.99998300
       591          1         18'019 0.99998350
       592          1         18'203 0.99998400
       593          1         18'221 0.99998450
       594          1         18'259 0.99998500
       595          1         18'352 0.99998550
       596          1         18'371 0.99998600
       597          1         18'444 0.99998650
       598          1         18'611 0.99998700
       599          1         18'667 0.99998750
       600          1         18'704 0.99998800
       601          1         18'722 0.99998850
       602          1         18'759 0.99998900
       603          1         18'870 0.99998950
       604          1         18'962 0.99999000
       605          1         19'000 0.99999050
       606          1         19'037 0.99999100
       607          1         19'074 0.99999150
       608          1         19'185 0.99999200
       609          1         19'296 0.99999250
       610          1         19'333 0.99999300
       611          1         19'407 0.99999350
       612          1         19'648 0.99999400
       613          1         19'796 0.99999450
       614          1         19'981 0.99999500
       615          1         20'037 0.99999550
       616          1         20'092 0.99999600
       617          1         20'148 0.99999650
       618          1         20'259 0.99999700
       619          1         20'870 0.99999750
       620          1         20'908 0.99999800
       621          1         21'296 0.99999850
       622          1         22'741 0.99999900
       623          1         24'204 0.99999950
       624          1         33'444 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            314 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'686 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :         97'128 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            314 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'686 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :         77'981 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            314 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'686 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :         47'074 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            314 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'686 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :         61'314 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 10'000'000 near 'back to back now()' durations:

minimum duration                     :            314 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'686 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :         97'128 ns
(with min duration still included)

