./cpp_clockinfo_main-2018macMiniVM-49152MiB-threads_11-LP64-Fedora_37_64bit-g++_12_O3lto-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.25


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 65'229'257'859'195 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 15 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 900 ns
(with min duration still included)

target with min duration subtracted  : 885 ns

Other information for reference:

small scale duration variability     : 9 ns

largest observed duration            : 79'249 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       784          1          2'147 0.99973000
       785          1          2'148 0.99973050
       786          1          2'157 0.99973100
       787          1          2'160 0.99973150
       788          1          2'166 0.99973200
       789          2          2'168 0.99973300
       790          1          2'173 0.99973350
       791          1          2'182 0.99973400
       792          1          2'183 0.99973450
       793          1          2'184 0.99973500
       794          1          2'188 0.99973550
       795          1          2'190 0.99973600
       796          1          2'194 0.99973650
       797          1          2'196 0.99973700
       798          1          2'201 0.99973750
       799          1          2'205 0.99973800
       800          1          2'212 0.99973850
       801          2          2'213 0.99973950
       802          1          2'214 0.99974000
       803          2          2'215 0.99974100
       804          3          2'220 0.99974250
       805          2          2'223 0.99974350
       806          2          2'228 0.99974450
       807          1          2'229 0.99974500
       808          3          2'232 0.99974650
       809          1          2'233 0.99974700
       810          1          2'235 0.99974750
       811          2          2'238 0.99974850
       812          1          2'239 0.99974900
       813          2          2'241 0.99975000
       814          1          2'243 0.99975050
       815          2          2'245 0.99975150
       816          1          2'251 0.99975200
       817          2          2'252 0.99975300
       818          1          2'257 0.99975350
       819          1          2'258 0.99975400
       820          2          2'260 0.99975500
       821          1          2'261 0.99975550
       822          1          2'264 0.99975600
       823          1          2'268 0.99975650
       824          1          2'270 0.99975700
       825          1          2'274 0.99975750
       826          1          2'275 0.99975800
       827          2          2'276 0.99975900
       828          1          2'279 0.99975950
       829          1          2'283 0.99976000
       830          1          2'285 0.99976050
       831          1          2'286 0.99976100
       832          1          2'290 0.99976150
       833          1          2'296 0.99976200
       834          2          2'299 0.99976300
       835          1          2'303 0.99976350
       836          1          2'332 0.99976400
       837          2          2'335 0.99976500
       838          1          2'347 0.99976550
       839          1          2'351 0.99976600
       840          1          2'359 0.99976650
       841          1          2'360 0.99976700
       842          1          2'373 0.99976750
       843          1          2'380 0.99976800
       844          1          2'389 0.99976850
       845          1          2'391 0.99976900
       846          1          2'392 0.99976950
       847          2          2'394 0.99977050
       848          1          2'396 0.99977100
       849          1          2'399 0.99977150
       850          1          2'403 0.99977200
       851          1          2'408 0.99977250
       852          1          2'415 0.99977300
       853          1          2'422 0.99977350
       854          1          2'430 0.99977400
