./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-FreeBSD_main_n247756_348c41d1815d_64bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 390'612'495'867 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 1'900 ns
(with min duration still included)

target with min duration subtracted  : 1'845 ns

Other information for reference:

small scale duration variability     : 19 ns

largest observed duration            : 53'870 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       310          1          6'130 0.99998200
       311          1          6'352 0.99998250
       312          1          6'518 0.99998300
       313          1          6'556 0.99998350
       314          1          6'648 0.99998400
       315          1          6'704 0.99998450
       316          1          6'815 0.99998500
       317          1          7'148 0.99998550
       318          1          7'166 0.99998600
       319          1          7'555 0.99998650
       320          2          7'574 0.99998750
       321          1          7'888 0.99998800
       322          1          7'889 0.99998850
       323          1          7'907 0.99998900
       324          1          8'093 0.99998950
       325          1          8'241 0.99999000
       326          1          8'537 0.99999050
       327          1          8'593 0.99999100
       328          1          9'000 0.99999150
       329          1          9'148 0.99999200
       330          1          9'277 0.99999250
       331          1          9'500 0.99999300
       332          1          9'945 0.99999350
       333          1         12'907 0.99999400
       334          1         13'870 0.99999450
       335          1         13'926 0.99999500
       336          1         16'925 0.99999550
       337          1         17'981 0.99999600
       338          1         20'111 0.99999650
       339          1         48'944 0.99999700
       340          1         49'333 0.99999750
       341          1         50'296 0.99999800
       342          1         50'351 0.99999850
       343          1         51'296 0.99999900
       344          1         52'185 0.99999950
       345          1         53'870 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 1'900 ns
(with min duration still included)

target with min duration subtracted  : 1'845 ns

Other information for reference:

small scale duration variability     : 19 ns

largest observed duration            : 130'758 ns
(with min duration still included)


