./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9800668e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns
       301          5         11'291 0.99938050
       302          1         11'292 0.99938100
       303          1         11'332 0.99938150
       304          7         11'333 0.99938500
       305          2         11'374 0.99938600
       306          7         11'375 0.99938950
       307          3         11'416 0.99939100
       308          2         11'417 0.99939200
       309          1         11'457 0.99939250
       310         10         11'458 0.99939750
       311          2         11'499 0.99939850
       312          2         11'500 0.99939950
       313          3         11'541 0.99940100
       314          3         11'542 0.99940250
       315          4         11'583 0.99940450
       316          2         11'624 0.99940550
       317          6         11'625 0.99940850
       318          2         11'666 0.99940950
       319          5         11'708 0.99941200
       320          4         11'750 0.99941400
       321          4         11'791 0.99941600
       322          2         11'792 0.99941700
       323          1         11'832 0.99941750
       324         10         11'833 0.99942250
       325          4         11'874 0.99942450
       326          8         11'916 0.99942850
       327          1         11'957 0.99942900
       328          5         11'958 0.99943150
       329          3         11'999 0.99943300
       330          4         12'000 0.99943500
       331         10         12'041 0.99944000
       332          1         12'042 0.99944050
       333          8         12'083 0.99944450
       334          4         12'124 0.99944650
       335          8         12'125 0.99945050
       336         11         12'166 0.99945600
       337         11         12'208 0.99946150
       338          1         12'209 0.99946200
       339          7         12'249 0.99946550
       340         10         12'250 0.99947050
       341         13         12'291 0.99947700
       342          8         12'292 0.99948100
       343          6         12'332 0.99948400
       344         17         12'333 0.99949250
       345          7         12'374 0.99949600
       346         10         12'375 0.99950100
       347         20         12'416 0.99951100
       348          4         12'417 0.99951300
       349          4         12'457 0.99951500
       350         13         12'458 0.99952150
       351          7         12'499 0.99952500
       352         13         12'500 0.99953150
       353         18         12'541 0.99954050
       354          4         12'542 0.99954250
       355          1         12'582 0.99954300
       356         24         12'583 0.99955500
       357          9         12'624 0.99955950
       358         16         12'625 0.99956750
       359         19         12'666 0.99957700
       360          3         12'667 0.99957850
       361         21         12'708 0.99958900
       362          7         12'749 0.99959250
       363         12         12'750 0.99959850
       364         11         12'791 0.99960400
       365          4         12'792 0.99960600
       366          2         12'832 0.99960700
       367         17         12'833 0.99961550
       368          8         12'874 0.99961950
       369          9         12'875 0.99962400
       370          9         12'916 0.99962850
       371          6         12'917 0.99963150
       372          3         12'957 0.99963300
       373         14         12'958 0.99964000
       374          9         12'999 0.99964450
       375          5         13'000 0.99964700
       376          9         13'041 0.99965150
       377          6         13'042 0.99965450
       378          5         13'082 0.99965700
       379          8         13'083 0.99966100
       380          9         13'124 0.99966550
       381          9         13'125 0.99967000
       382         10         13'166 0.99967500
       383          1         13'167 0.99967550
       384          1         13'207 0.99967600
       385         17         13'208 0.99968450
       386          4         13'249 0.99968650
       387          4         13'250 0.99968850
       388         12         13'291 0.99969450
       389          4         13'333 0.99969650
       390          4         13'374 0.99969850
       391          6         13'375 0.99970150
       392          7         13'416 0.99970500
       393          3         13'417 0.99970650
       394          1         13'457 0.99970700
       395          7         13'458 0.99971050
       396          4         13'499 0.99971250
       397          2         13'500 0.99971350
       398          2         13'541 0.99971450
       399          1         13'542 0.99971500
       400          1         13'582 0.99971550
       401          5         13'583 0.99971800
       402          1         13'624 0.99971850
       403          4         13'625 0.99972050
       404          6         13'666 0.99972350
       405          6         13'708 0.99972650
       406          6         13'749 0.99972950
       407          3         13'750 0.99973100
       408          9         13'791 0.99973550
       409          1         13'792 0.99973600
       410          1         13'832 0.99973650
       411          6         13'833 0.99973950
       412          5         13'874 0.99974200
       413          5         13'875 0.99974450
       414          6         13'916 0.99974750
       415          4         13'958 0.99974950
       416          2         13'999 0.99975050
       417          1         14'000 0.99975100
       418          8         14'041 0.99975500
       419          2         14'082 0.99975600
       420          2         14'083 0.99975700
       421          4         14'124 0.99975900
       422          3         14'125 0.99976050
       423          7         14'166 0.99976400
       424          1         14'207 0.99976450
       425          4         14'208 0.99976650
       426          4         14'249 0.99976850
       427          3         14'250 0.99977000
       428          2         14'291 0.99977100
       429          3         14'333 0.99977250
       430          2         14'374 0.99977350
       431          5         14'375 0.99977600
       432          3         14'416 0.99977750
       433          1         14'457 0.99977800
       434          3         14'458 0.99977950
       435          3         14'499 0.99978100
       436          5         14'500 0.99978350
       437          4         14'541 0.99978550
       438          2         14'542 0.99978650
       439          7         14'583 0.99979000
       440          5         14'624 0.99979250
       441          3         14'625 0.99979400
       442          2         14'666 0.99979500
       443          1         14'667 0.99979550
       444          4         14'708 0.99979750
       445          5         14'749 0.99980000
       446          6         14'750 0.99980300
       447          4         14'791 0.99980500
       448          1         14'792 0.99980550
       449          2         14'832 0.99980650
       450          7         14'833 0.99981000
       451          4         14'874 0.99981200
       452          4         14'875 0.99981400
       453          5         14'916 0.99981650
       454          1         14'957 0.99981700
       455          5         14'958 0.99981950
       456          4         14'999 0.99982150
       457          2         15'000 0.99982250
       458          6         15'041 0.99982550
       459          2         15'042 0.99982650
       460          1         15'082 0.99982700
       461          6         15'083 0.99983000
       462          5         15'124 0.99983250
       463          4         15'125 0.99983450
       464          4         15'166 0.99983650
       465          1         15'167 0.99983700
       466          1         15'207 0.99983750
       467          8         15'208 0.99984150
       468          6         15'249 0.99984450
       469          7         15'291 0.99984800
       470          1         15'292 0.99984850
       471          6         15'333 0.99985150
       472          5         15'374 0.99985400
       473          6         15'416 0.99985700
       474          2         15'417 0.99985800
       475          5         15'458 0.99986050
       476          7         15'499 0.99986400
       477          5         15'500 0.99986650
       478          4         15'541 0.99986850
       479          1         15'582 0.99986900
       480          4         15'583 0.99987100
       481          3         15'624 0.99987250
       482          2         15'625 0.99987350
       483          2         15'666 0.99987450
       484          3         15'707 0.99987600
       485          3         15'708 0.99987750
       486          3         15'749 0.99987900
       487          2         15'750 0.99988000
       488          5         15'791 0.99988250
       489          5         15'833 0.99988500
       490          1         15'874 0.99988550
       491          2         15'875 0.99988650
       492          2         15'916 0.99988750
       493          2         15'957 0.99988850
       494          8         15'958 0.99989250
       495          4         15'999 0.99989450
       496          1         16'000 0.99989500
       497          4         16'041 0.99989700
       498          2         16'082 0.99989800
       499          5         16'083 0.99990050
       500          1         16'125 0.99990100
       501          1         16'166 0.99990150
       502          2         16'208 0.99990250
       503          5         16'249 0.99990500
       504          2         16'250 0.99990600
       505          3         16'291 0.99990750
       506          2         16'333 0.99990850
       507          1         16'374 0.99990900
       508          4         16'416 0.99991100
       509          1         16'457 0.99991150
       510          3         16'458 0.99991300
       511          1         16'499 0.99991350
       512          5         16'541 0.99991600
       513          3         16'583 0.99991750
       514          2         16'625 0.99991850
       515          2         16'708 0.99991950
       516          1         16'749 0.99992000
