./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9265699e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns
       516          2         18'208 0.99995900
       517          1         18'250 0.99995950
       518          1         18'290 0.99996000
       519          5         18'291 0.99996250
       520          1         18'541 0.99996300
       521          1         18'582 0.99996350
       522          1         18'749 0.99996400
       523          1         18'791 0.99996450
       524          1         18'833 0.99996500
       525          1         18'958 0.99996550
       526          1         18'999 0.99996600
       527          1         19'041 0.99996650
       528          1         19'166 0.99996700
       529          1         19'249 0.99996750
       530          1         19'291 0.99996800
       531          1         19'332 0.99996850
       532          1         19'457 0.99996900
       533          2         19'541 0.99997000
       534          1         19'583 0.99997050
       535          1         19'707 0.99997100
       536          1         19'791 0.99997150
       537          1         19'833 0.99997200
       538          1         20'083 0.99997250
       539          2         20'166 0.99997350
       540          1         20'582 0.99997400
       541          1         20'625 0.99997450
       542          1         20'833 0.99997500
       543          1         21'124 0.99997550
       544          1         21'249 0.99997600
       545          1         21'332 0.99997650
       546          1         21'708 0.99997700
       547          2         22'291 0.99997800
       548          1         22'415 0.99997850
       549          1         22'791 0.99997900
       550          1         23'124 0.99997950
       551          1         23'458 0.99998000
       552          1         23'749 0.99998050
       553          1         23'958 0.99998100
       554          1         24'499 0.99998150
       555          1         24'583 0.99998200
       556          1         25'124 0.99998250
       557          1         25'166 0.99998300
       558          1         25'624 0.99998350
       559          1         26'083 0.99998400
       560          1         26'124 0.99998450
       561          1         26'291 0.99998500
       562          1         26'458 0.99998550
       563          1         26'790 0.99998600
       564          1         26'916 0.99998650
       565          1         27'165 0.99998700
       566          1         27'499 0.99998750
       567          1         27'540 0.99998800
       568          1         27'915 0.99998850
       569          1         28'791 0.99998900
       570          1         29'499 0.99998950
       571          1         29'749 0.99999000
       572          1         34'249 0.99999050
       573          1         34'290 0.99999100
       574          1         37'915 0.99999150
       575          1         39'332 0.99999200
       576          1         43'081 0.99999250
       577          1         73'539 0.99999300
       578          1         73'581 0.99999350
       579          1         74'372 0.99999400
       580          1         76'706 0.99999450
       581          1         77'747 0.99999500
       582          1         78'455 0.99999550
       583          1         78'664 0.99999600
       584          1         78'747 0.99999650
       585          1         79'373 0.99999700
       586          1         79'414 0.99999750
       587          1         80'206 0.99999800
       588          1         82'205 0.99999850
       589          1         84'330 0.99999900
       590          1        110'454 0.99999950
       591          1        123'537 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        178'244 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        218'742 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        603'312 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'992 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        164'953 ns
(with min duration still included)


Overall:

